"Hotel","Provider","Review_Count","Free_Wifi","Breakfast_Included","Swimming_Pool","Free_Parking","Website","Special_Offer","Restaurant","links","Price_AMD","Price_USD","overall_rating","address"
"City Hotel by Picnic","Agoda.com",55,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8400769-Reviews-City_Hotel_by_Picnic-Yerevan.html",21097,44," 4.5 ","26/1 Martiros Saryan Street, Yerevan 0002, Armenia"
"FindArmenia Hostel","Booking.com",28,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10127306-Reviews-FindArmenia_Hostel-Yerevan.html",7492,15," 5.0 ","Bayrona str. 10, Yerevan 0009, Armenia"
"Boulevard Hotel","Booking.com",25,1,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12486956-Reviews-Boulevard_Hotel-Yerevan.html",32492,67," 4.5 ","37 Pavstos Buzand Street, Yerevan 0010, Armenia"
"Villa 29","Booking.com",41,1,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6200911-Reviews-Villa_29-Yerevan.html",30000,62," 4.5 ","Kokhbatsi str. 29, Yerevan 0010, Armenia "
"Grig Hotel","Expedia.com",27,1,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d3870900-Reviews-Grig_Hotel-Yerevan.html",21973,45," 4.5 ","Bagramyan Marshal ave 47/12, Yerevan 0019, Armenia"
"Best Eastern Hotel Metropol","Booking.com",105,1,0,1,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d308339-Reviews-Best_Eastern_Hotel_Metropol-Yerevan.html",30500,63," 3.5 ","Mashtots M. ave 2/2, Yerevan 0015, Armenia"
"Art Hotel","Booking.com",35,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8112220-Reviews-Art_Hotel-Yerevan.html",13333,28," 4.5 ","Zavaryan str. 173, Yerevan 0070, Armenia"
"Nork Residence Hotel","Booking.com",27,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d1818280-Reviews-Nork_Residence_Hotel-Yerevan.html",22500,46," 3.5 ","Moldovakan str. 56/1, Yerevan 0062, Armenia "
"Aquatek Resort and SPA","Booking.com",34,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d2288712-Reviews-Aquatek_Resort_and_SPA-Yerevan.html",24148,50," 3.5 ","Myasnikyana ave 40/2, Yerevan 0025, Armenia"
"RIS Dalma Collection Yerevan","Booking.com",1,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14189004-Reviews-RIS_Dalma_Collection_Yerevan-Yerevan.html",40000,83," 5.0 ","Tsitsernakaberd Highway, 1/3, Yerevan 0082, Armenia"
"Bomo Nairi Hotel","Booking.com",68,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d622382-Reviews-Bomo_Nairi_Hotel-Yerevan.html",23752,49,NA,NA
"L'image Art Hotel","Booking.com",2,0,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14780154-Reviews-L_image_Art_Hotel-Yerevan.html",27590,57," 4.5 ","Pavstos Buzand street, Building 1, 1/1, Yerevan 0068, Armenia"
"Golden Palace Boutique Hotel","Booking.com",5,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13457134-Reviews-Golden_Palace_Boutique_Hotel-Yerevan.html",59992,124," 5.0 ","11 Northern Avenue, Yerevan 0010, Armenia"
"Armenian Royal Palace Hotel","Booking.com",53,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d1200811-Reviews-Armenian_Royal_Palace_Hotel-Yerevan.html",29167,60," 3.5 ","4-th St., 17/1 | Silikyan district, Yerevan 0029, Armenia"
"Ararat hotel","Agoda.com",86,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d308332-Reviews-Ararat_hotel-Yerevan.html",30268,63," 3.5 ","Lusavorich G. str. 7, Yerevan 0015, Armenia"
"The Alexander Hotel, a Luxury Collection Hotel, Yerevan","Expedia.com",7,1,0,1,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13950040-Reviews-The_Alexander_Hotel_a_Luxury_Collection_Hotel_Yerevan-Yerevan.html",115200,238," 4.5 ","Abovyan str. 3/4, Yerevan 0001, Armenia"
"Forum Hotel","Expedia.com",37,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6206559-Reviews-Forum_Hotel-Yerevan.html",29083,60," 4.0 ","Paronyana str. 19/3, Yerevan 0015, Armenia"
"Armenia Hostel","Booking.com",25,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d3869569-Reviews-Armenia_Hostel-Yerevan.html",6660,14," 4.5 ","Moldovakan St., 29/6-3, Yerevan 0096, Armenia"
"Amber","Booking.com",11,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7134404-Reviews-Amber-Yerevan.html",26667,55," 4.5 ","Myasnikyana ave 1/6, Yerevan 0025, Armenia"
"Latar Hotel","Expedia.com",19,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d4176271-Reviews-Latar_Hotel-Yerevan.html",60042,124," 4.0 ","5th St., 58 | Silikyan district, Yerevan 0029, Armenia"
"Shirak Hotel","Expedia.com",156,1,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d308341-Reviews-Shirak_Hotel-Yerevan.html",22624,47," 3.0 ","Khoryenatsi M. str. 13a, Yerevan 0010, Armenia"
"Venice Hotel","Booking.com",3,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d9799421-Reviews-Venice_Hotel-Yerevan.html",19167,40," 4.0 ","Movses Khorenaci Street 217/19, Yerevan 0008, Armenia"
"Druzhba Hostel","Booking.com",1,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10235677-Reviews-Druzhba_Hostel-Yerevan.html",8325,17," 5.0 ","Avyetisyan A. 15/1, Yerevan 0033, Armenia"
"Mirage Hotel","Booking.com",6,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8337431-Reviews-Mirage_Hotel-Yerevan.html",20000,41," 4.5 ","Khudyakova marshala str. 4, Yerevan 0063, Armenia"
"City Centre Apartments","Expedia.com",1,1,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12594723-Reviews-City_Centre_Apartments-Yerevan.html",25000,52," 5.0 ","Mashtots M. ave 13, Yerevan 0002, Armenia "
"No Problem Hotel","Booking.com",0,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13820307-Reviews-No_Problem_Hotel-Yerevan.html",27492,57,"","Glinka str. 3, Yerevan 0005, Armenia "
"Motel Acapulco","Booking.com",2,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8284624-Reviews-Motel_Acapulco-Yerevan.html",8750,18," 1.5 ","Kajaznuni 14, Yerevan 0070, Armenia"
"Hobby Hotel","Expedia.com",0,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14791697-Reviews-Hobby_Hotel-Yerevan.html",23733,49,"","Saryan, 30, Yerevan 0061, Armenia "
"Bitlis","Booking.com",0,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14174703-Reviews-Bitlis-Yerevan.html",24992,52,"","Tbilisyan highway, 20/6, Yerevan 0052, Armenia"
"Tunn Kilikio","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d14985760-Reviews-Tunn_Kilikio-Yerevan.html",21990,45,"","Tsitsernakaberd Highway 4/5, Yerevan 0082, Armenia "
"Avan Plaza","Booking.com",0,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10205943-Reviews-Avan_Plaza-Yerevan.html",20824,43,"","Gay ave 1/8, Yerevan 0096, Armenia"
"Black White","Booking.com",0,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d13815435-Reviews-Black_White-Yerevan.html",12492,26,NA,NA
"Green Palace Hotel","Hotels.com",16,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d3265300-Reviews-Green_Palace_Hotel-Yerevan.html",20040,41," 4.5 ","Myasnikyana ave 57, Yerevan 0025, Armenia"
"Nor Yerevan","Expedia.com",6,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d12455767-Reviews-Nor_Yerevan-Yerevan.html",20040,41," 3.5 ","Arami str. 42, Yerevan 0010, Armenia"
"Republic Square Boutique Hotel","Booking.com",10,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d11791693-Reviews-Republic_Square_Boutique_Hotel-Yerevan.html",17992,37," 4.0 ","Zaqyan St., 5/3, Yerevan 0002, Armenia"
"Palma Palace Hotel","Booking.com",5,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7727415-Reviews-Palma_Palace_Hotel-Yerevan.html",20833,43," 4.5 ","Myasnikyana ave 59, Yerevan 0025, Armenia"
"Nor Dzoraberd Hotel","Booking.com",7,1,0,0,0,0,0,1,"https://www.tripadvisor.com/Hotel_Review-g293932-d6864096-Reviews-Nor_Dzoraberd_Hotel-Yerevan.html",18000,37," 4.5 ","Dzorapi Street 19/4, Yerevan 0010, Armenia "
"Golden Eagle Guesthouse","Booking.com",10,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d3870831-Reviews-Golden_Eagle_Guesthouse-Yerevan.html",15000,31," 4.5 ","Sosye str. 24/2, Yerevan 0019, Armenia"
"Guest House at Aygestana","Booking.com",3,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8651814-Reviews-Guest_House_at_Aygestana-Yerevan.html",12500,26," 5.0 ","Aygyestan 1 str. 11, Yerevan 0025, Armenia"
"Park Apartments by Picnic","Booking.com",11,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d5322339-Reviews-Park_Apartments_by_Picnic-Yerevan.html",20250,42," 5.0 ","Arami str. 70, Yerevan 0002, Armenia"
"Aram Guest House","Booking.com",7,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6681700-Reviews-Aram_Guest_House-Yerevan.html",8333,17," 4.5 ","2nd Side 18 Kiyevyan str., Yerevan 0028, Armenia "
"Inter Hostel","Booking.com",15,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8336389-Reviews-Inter_Hostel-Yerevan.html",6750,14," 4.0 ","Tolstoy St., 49, Yerevan 0010, Armenia"
"Miami International Suite Hotel","Booking.com",9,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10786964-Reviews-Miami_International_Suite_Hotel-Yerevan.html",10825,22," 4.0 ","Bagratunyants str. 3, Yerevan 0039, Armenia"
"Tora Palace","Booking.com",8,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d5488907-Reviews-Tora_Palace-Yerevan.html",26091,54," 4.0 ","Prosh'yana str. 4, Yerevan 0019, Armenia "
"Guest House West Yerevan","Booking.com",5,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10502794-Reviews-Guest_House_West_Yerevan-Yerevan.html",9908,20," 5.0 ","Sporta str. 23, Yerevan 0031, Armenia"
"Master's House Dayan","Expedia.com",6,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10817665-Reviews-Master_s_House_Dayan-Yerevan.html",32448,67," 5.0 ","Lusinyants 11, Yerevan 0082, Armenia"
"Zebra Art Hostel","Booking.com",6,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d9553412-Reviews-Zebra_Art_Hostel-Yerevan.html",7075,15," 4.5 ","Gyulbyekyan str. 19, Yerevan 0019, Armenia"
"Republic Square Hostel","Booking.com",6,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d11771505-Reviews-Republic_Square_Hostel-Yerevan.html",10825,22," 4.0 ","3 Pushkin Street, Yerevan 8910, Armenia"
"Praha Hotel","Agoda.com",7,0,0,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d9603327-Reviews-Praha_Hotel-Yerevan.html",18332,38," 4.5 ","str. Tumanyan 22, Yerevan 0001, Armenia"
"Arm Hostel","Booking.com",16,1,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10052301-Reviews-Arm_Hostel-Yerevan.html",10417,22," 4.0 ","Mashtots 29,10/1 | FrontEntry Door is next to VORSORD SHOP, Yerevan 0002, Armenia"
