"Names","Clubs","GP","GS","MP","FS","FC","YC","RC","OFF","C","CK","PKG","PK"
"Remy Loic  L.","GET",23,12,1219,19,22,5,1,12,14,0,1,1
"Pereira Andreas  A.","VAL",23,12,1076,21,20,5,0,1,75,9,0,0
"Miquel Ignasi  I.","MAG",20,20,1775,15,40,5,1,0,1,0,0,0
"Capa ","EIB",33,25,2247,9,34,4,0,6,90,0,0,0
"Inui Takashi  T.","EIB",34,31,2640,49,41,4,0,5,72,12,0,0
"Ramis Ivan  I.","EIB",16,15,1303,8,11,4,0,2,2,0,0,0
"Aguirregabiria Martin  M.","ALA",21,20,1829,18,20,4,0,0,56,0,0,0
"Santos Christian  C.","ALA",10,5,433,0,17,4,1,2,2,0,0,0
"Arrizabalaga Kepa  K.","ATH",30,30,2700,7,1,4,0,0,1,0,0,0
"Eraso ","LGN",34,31,2540,25,35,4,0,6,99,49,0,0
"Rakitic Ivan  I.","BAR",35,31,2838,45,34,4,0,3,72,48,0,0
"Beauvue Claudio  C.","LGN",28,17,1670,27,31,4,0,17,16,0,0,0
"Wass Daniel  D.","CEL",35,34,2938,53,26,4,0,11,174,73,0,0
"Baptistao Leo  L.","ESP",36,31,2686,49,47,4,0,15,58,1,0,0
"Lopez Javi  J.","ESP",14,12,967,19,20,4,0,0,29,0,0,0
"Moreno Gerard  G.","ESP",38,38,3413,75,56,4,0,35,67,1,1,2
"Sidnei ","DEP",21,21,1779,11,12,4,0,0,5,0,0,0
"Colak Emre  E.","DEP",26,17,1452,24,21,4,0,2,81,30,0,0
"Castellano Javi  J.","LP",23,17,1565,26,16,4,0,0,4,0,0,0
"Viera Jonathan  J.",NA,23,23,1994,69,22,4,0,3,101,44,1,3
"Fornals Pablo  P.","VIL",35,30,2623,32,32,4,0,2,62,11,0,0
"Kuzmanovic Zdravko  Z.","MAG",8,6,481,2,7,4,2,0,3,0,0,0
"Ontiveros Javi  J.",NA,12,1,380,6,8,4,0,0,24,4,0,0
"Ricca Federico  F.","MAG",14,13,1111,7,18,4,0,0,31,0,0,0
"Kroos Toni  T.","RMD",27,26,2267,38,22,4,0,2,161,133,0,0
"Canales Sergio  S.","RSO",36,20,1921,30,22,4,0,0,170,98,0,0
"Navas Raul  R.","RSO",20,20,1792,8,12,4,0,0,4,0,0,0
"Odriozola Alvaro  A.","RSO",35,32,2917,32,23,4,1,9,177,2,0,0
"Oyarzabal Mikel  M.","RSO",35,31,2779,45,29,4,0,17,120,62,0,0
"Willian Jose ","RSO",34,32,2780,53,32,4,0,20,22,1,3,4
"Lato Toni  T.","VAL",16,9,798,7,10,4,0,1,18,0,0,0
"Mina Santi  S.","VAL",32,17,1549,35,25,4,0,11,15,0,1,1
"Rodrigo ","VAL",37,31,2695,40,28,4,0,20,44,2,1,1
"Soler Carlos  C.","VAL",33,27,2374,43,55,4,0,1,70,3,0,0
"Bonera Daniele  D.","VIL",15,14,1190,10,14,4,1,0,0,0,0,0
"Castillejo Samu  S.","VIL",30,25,2083,66,41,4,0,7,120,75,0,0
"Cote Jose Angel  J.","EIB",30,28,2430,17,18,4,0,1,210,40,0,0
"Adan ","BET",30,30,2700,3,0,4,0,0,0,0,0,0
"Durmisi Riza  R.","BET",24,23,2080,10,15,4,0,2,83,4,0,0
"Vazquez Franco  F.","SEV",30,22,1845,61,49,4,0,9,46,2,0,0
"Filipe Luis ","ATL",20,19,1660,27,16,4,0,1,50,1,0,0
"Rober ","LEV",25,19,1904,7,18,4,0,0,2,0,0,0
"Lopez Pedro  P.","LEV",21,18,1596,28,19,4,0,4,59,0,0,0
"Marti Roger  R.","LEV",17,10,962,13,17,4,0,5,15,0,1,1
"Alcala Pedro  P.","GIR",8,8,690,3,11,4,0,2,4,0,0,0
"Cuellar Ivan  I.","LGN",35,35,3150,7,0,4,0,0,0,0,0,0
"Muriel Luis  L.","SEV",29,17,1603,14,25,4,0,30,26,2,0,0
"Maripan Guillermo  G.","ALA",19,17,1527,4,16,4,0,0,2,0,0,0
"Garcia Sergio  S.","ESP",33,14,1629,35,20,4,0,13,33,0,0,0
"Januzaj Adnan  A.","RSO",28,18,1579,59,32,4,0,6,77,32,0,0
"Corchia Sebastien  S.","SEV",12,9,823,22,20,4,0,3,24,0,0,0
"Nolito ","SEV",30,17,1599,24,17,4,0,20,46,17,0,1
"De la Bella Alberto  A.","RSO",17,17,1529,17,21,4,0,6,82,0,0,0
"Douglas Luiz ","GIR",15,1,295,8,13,4,0,0,9,3,0,0
"Doukoure Cheick  C.","LEV",19,12,1020,10,36,4,0,0,4,0,0,0
"Lukic Sasa  S.","LEV",16,12,996,16,24,4,0,0,8,1,0,0
"Murillo Jeison  J.","VAL",17,15,1374,15,16,4,0,2,1,0,0,0
"Aquilani Alberto  A.","LP",21,15,1298,14,18,4,0,1,12,0,0,0
"Mor Emre  E.","CEL",23,4,650,22,10,4,0,2,57,15,0,0
"Firpo Junior  J.","BET",14,14,1190,16,18,4,0,0,22,0,0,0
"Layun Miguel  M.","SEV",16,11,1181,9,11,4,0,0,64,12,0,0
"Dos Santos Mauro  M.","LGN",14,10,981,3,9,3,0,2,3,0,0,0
"Escalante Gonzalo  G.","EIB",28,16,1561,16,26,3,0,0,9,0,0,0
"Junca ","EIB",15,10,902,7,14,3,0,0,72,8,0,0
"Laguardia ","ALA",17,17,1530,5,10,3,0,0,4,0,0,0
"Benat ","ATH",24,12,1115,15,17,3,0,0,102,50,0,0
"Boveda Eneko  E.","DEP",14,13,1191,4,22,3,0,1,28,0,0,0
"Lekue Inigo  I.","ATH",32,22,2104,12,24,3,0,1,78,0,0,0
"Williams Inaki  I.","ATH",38,31,2851,41,32,3,0,27,86,0,0,0
"Messi Lionel  L.","BAR",36,32,2996,80,17,3,0,13,98,44,2,4
"Roberto Sergi  S.","BAR",30,24,2224,25,15,3,2,1,63,0,0,0
"Vermaelen Thomas  T.","BAR",14,12,1018,3,9,3,0,1,2,0,0,0
"Guidetti John  J.","ALA",25,15,1338,16,30,3,0,11,23,1,0,0
"Gomez Sergi  S.","CEL",33,31,2682,9,12,3,0,2,4,0,0,0
"Radoja Nemanja  N.","CEL",26,11,1097,13,11,3,0,1,5,1,0,0
"Ruben ","CEL",22,22,1942,0,1,3,1,0,0,0,0,0
"Navarro Marc  M.","ESP",19,10,1105,9,13,3,0,0,65,0,0,0
"Perez Hernan  H.","ALA",14,5,510,7,13,3,0,3,30,8,0,0
"Juanfran ","DEP",35,34,3058,33,24,3,0,1,174,2,0,0
"Bigas ","LP",12,11,896,6,12,3,0,1,0,0,0,0
"Gomez Vicente  V.","LP",25,17,1525,28,23,3,0,0,16,0,0,0
"Momo ","LP",13,8,674,21,6,3,0,3,40,11,0,0
"Simon David  D.","LP",11,6,718,12,16,3,0,1,34,0,0,0
"En-Nesyri Youseff  Y.","MAG",25,16,1592,33,34,3,1,15,22,0,0,1
"Keko ","MAG",21,15,1217,28,35,3,0,6,41,0,0,0
"Penaranda Adalberto  A.","MAG",13,11,807,27,28,3,0,3,4,0,0,0
"Torres Miguel  M.","MAG",8,8,675,0,7,3,0,2,6,0,0,0
"Marcelo ","RMD",28,26,2262,41,27,3,1,3,162,12,0,0
"Modric Luka  L.","RMD",26,23,1976,30,20,3,0,0,32,6,0,0
"Varane Raphael  R.","RMD",27,27,2323,12,19,3,0,0,3,0,0,0
"Vazquez Lucas  L.","RMD",33,16,1668,42,33,3,0,12,116,21,0,0
"Juanmi ","RSO",30,18,1490,23,21,3,0,15,10,0,0,0
"Rulli Geronimo  G.","RSO",26,26,2340,2,1,3,0,0,0,0,0,0
"Zubeldia Igor  I.","RSO",25,16,1578,14,20,3,0,1,11,1,0,0
"Asenjo Sergio  S.","VIL",23,23,2070,3,2,3,0,0,0,0,0,0
"Raba Daniel  D.","VIL",21,14,1113,27,24,3,1,8,47,21,0,0
"Soriano Roberto  R.","VIL",22,11,1135,33,36,3,0,7,22,4,0,0
"Brasanac Darko  D.","LGN",23,13,1201,20,19,3,0,3,14,2,0,0
"Ben Yedder Wissam  W.","SEV",25,18,1699,19,17,3,1,21,21,0,0,0
"Carrasco Yannick  Y.",NA,17,8,899,8,13,3,0,2,33,8,0,0
"Juanfran ","ATL",17,15,1308,9,33,3,0,5,43,0,0,0
"Koke ","ATL",35,33,2762,51,24,3,0,1,167,99,0,0
"Lucas ",NA,15,13,1182,28,15,3,0,2,21,0,0,0
"Guerrero ","LGN",22,15,1438,23,35,3,0,12,3,0,0,1
"Mantovani ","LGN",14,10,1019,14,18,3,0,0,0,0,0,0
"Omar ","LGN",23,18,1457,17,14,3,0,2,83,24,0,0
"Lopez Pau  P.","ESP",29,28,2566,3,0,3,0,0,0,0,0,0
"Ruiz Fabian  F.","BET",34,30,2662,35,27,3,0,2,23,1,0,0
"Navarro Ximo  X.",NA,12,10,941,20,8,3,0,0,6,0,0,0
"Martinez Ruben  R.","DEP",28,27,2477,5,0,3,0,0,0,0,0,0
"Jordan Joan  J.","EIB",35,25,2422,19,34,3,1,5,118,64,1,2
"Vezo Ruben  R.","VAL",19,17,1554,14,23,3,1,1,20,0,0,0
"Ramalho Jonas  J.","GIR",26,25,2297,12,20,3,0,1,12,0,0,0
"Lacen Mehdi  M.","MAG",19,12,1123,11,21,3,0,0,9,0,0,0
"Cordoba Inigo  I.","ATH",30,18,1457,35,20,3,0,5,82,0,0,0
"Oliveira Paulo  P.","EIB",26,25,2215,12,15,3,0,0,2,0,0,0
"Garcia Aleix  A.","GIR",20,7,843,5,5,3,0,0,37,30,0,0
"Kjaer Simon  S.","SEV",20,18,1571,9,17,3,0,0,2,0,0,0
"Ivi ","LEV",29,17,1759,20,40,3,0,4,106,28,1,1
"Muniesa Marc  M.","GIR",13,13,1129,9,11,3,0,0,2,0,0,0
"Vila Didac  D.","ESP",14,7,725,13,13,3,0,1,33,2,0,0
"Perez Lucas  L.","DEP",35,31,2796,33,26,3,0,37,189,107,3,4
"Lomban David  D.","EIB",13,11,996,5,9,3,0,1,0,0,0,0
"Penalba Gabriel  G.","LP",7,7,572,4,9,3,0,0,1,0,0,0
"Cabrera Leandro  L.","GET",9,8,720,2,14,3,0,1,24,0,0,0
"Aguirregaray Matias  M.","LP",15,14,1155,21,20,3,0,1,33,0,0,0
"Moron Loren  L.","BET",15,12,1064,28,25,3,0,5,4,0,0,0
"Etebo Oghenekaro  O.","LP",14,14,1215,45,21,3,0,1,3,2,0,0
"Sanchez Carlos  C.","ESP",14,13,1123,14,25,3,0,0,2,0,0,0
"Flamini Mathieu  M.","GET",8,6,482,1,13,3,1,0,5,0,0,0
"Muntari Sulley  S.","DEP",8,6,408,7,11,3,0,0,8,0,0,0
"Enrich Sergi  S.","EIB",19,14,1330,28,20,2,0,20,7,1,0,0
"Camarasa Victor  V.","BET",24,14,1253,31,19,2,0,2,8,1,0,0
"Pacheco Fernando  F.","ALA",38,37,3357,3,0,2,0,0,0,0,0,0
"Torres Daniel  D.","ALA",18,14,1218,15,22,2,0,0,4,0,0,0
"Etxeita ","ATH",5,5,377,2,10,2,0,0,1,0,0,0
"Rico Mikel  M.","ATH",17,13,1170,22,19,2,0,0,11,1,0,0
"Susaeta ","ATH",34,26,2268,49,20,2,0,9,189,87,0,0
"Yeray ","ATH",8,7,675,9,12,2,0,0,3,0,0,0
"Digne Lucas  L.","BAR",12,8,702,7,12,2,0,2,17,0,0,0
"Fontas Andreu  A.","CEL",12,9,884,1,6,2,0,0,0,0,0,0
"Roncaglia Facundo  F.","CEL",21,17,1492,9,16,2,0,1,7,0,0,0
"Sisto Pione  P.","CEL",34,31,2534,73,15,2,0,10,92,26,0,0
"Garcia David  D.","LP",11,9,859,14,11,2,0,0,5,0,0,0
"Mesa Roque  R.","SEV",7,4,342,7,10,2,0,0,2,1,0,0
"Tana ","LP",24,16,1553,36,11,2,0,0,62,40,0,0
"Juankar ","MAG",10,9,784,8,9,2,0,1,26,0,0,0
"Asensio Marco  M.","RMD",32,19,1839,28,8,2,0,3,123,49,0,0
