"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"Merino Sabin  S.","ATH",13,5,436,1,1,4,15,2,0
"Rico Mikel  M.","ATH",18,4,469,1,0,2,9,3,0
"Susaeta ","ATH",26,11,1104,1,2,4,14,4,0
"Alba Jordi  J.","BAR",26,21,1965,1,6,1,6,4,0
"Mascherano Javier  J.","BAR",25,20,1917,1,3,2,9,6,0
"Mathieu Jeremy  J.","BAR",13,12,1039,1,0,2,7,0,0
"Beauvue Claudio  C.","CEL",13,5,652,1,2,5,19,1,0
"Bongonda Theo  T.","CEL",30,26,2170,1,3,9,33,3,0
"Cheikh Pape  P.","CEL",16,5,562,1,0,1,1,3,0
"Diaz Marcelo  M.","CEL",26,17,1643,1,2,4,12,5,0
"Fontas Andreu  A.","CEL",17,17,1462,1,1,2,3,8,1
"Hernandez Pablo  P.","CEL",26,20,1897,1,0,5,12,11,1
"Radoja Nemanja  N.","CEL",31,27,2421,1,0,4,9,3,0
"Sanchez Victor  V.","ESP",26,25,2281,1,1,1,8,8,0
"Alvaro ",NA,15,14,1263,1,1,2,8,7,0
"Bergantinos Alex  A.","DEP",8,6,552,1,0,1,3,2,0
"Perez Lucas  L.",NA,1,1,90,1,1,1,3,0,0
"Sidnei ","DEP",29,29,2491,1,0,1,13,2,0
"Garcia David  D.","LP",22,17,1647,1,1,3,10,6,0
"Mesa Roque  R.","LP",35,34,3037,1,2,8,24,14,0
"Wakaso ","GRA",11,10,869,1,1,5,17,8,1
"Albentosa Raul  R.","DEP",27,26,2335,1,1,4,9,10,1
"Castro Chory  C.","MAG",29,21,1794,1,3,13,31,5,0
"Duda ","MAG",16,2,378,1,2,1,6,3,0
"Rosales Roberto  R.","MAG",32,32,2861,1,2,5,20,6,1
"Danilo ","RMD",17,17,1488,1,2,4,11,2,0
"Kovacic Mateo  M.","RMD",27,19,1689,1,3,5,15,2,0
"Mariano ","RMD",8,0,115,1,1,1,5,0,0
"Modric Luka  L.","RMD",25,22,1891,1,2,11,20,2,0
"Varane Raphael  R.","RMD",23,23,1927,1,2,2,10,1,0
"Illarramendi Asier  A.","RSO",34,33,3004,1,2,5,19,13,0
"Navas Raul  R.","RSO",32,31,2799,1,1,6,24,5,0
"Pardo Ruben  R.","BET",19,17,1430,1,0,7,18,2,0
"Reyes Diego  D.","ESP",34,32,2889,1,0,3,8,2,0
"Bakkali Zakaria  Z.","VAL",18,1,276,1,0,2,6,2,0
"Cancelo Joao  J.","VAL",35,27,2424,1,4,10,23,7,1
"Fuego Javi  J.","ESP",31,29,2565,1,0,3,11,10,1
"Gaya ","VAL",27,24,2090,1,2,8,14,4,0
"Costa Jaume  J.","VIL",31,30,2680,1,3,3,9,14,1
"Ruiz Victor  V.","VIL",28,27,2368,1,1,3,6,4,2
"Suarez Denis  D.","BAR",26,12,1180,1,3,7,14,1,0
"Babin Jean-Sylvain  J.","GIJ",22,20,1715,1,1,3,8,2,0
"Bruno ","BET",16,15,1330,1,0,1,3,9,0
"Cejudo Alvaro  A.","BET",17,6,805,1,1,3,16,9,0
"Petros ","BET",32,24,2142,1,2,2,11,10,1
"Pezzella German  G.","BET",36,36,3102,1,0,6,16,10,0
"Fernandez Carlos  C.",NA,3,1,88,1,0,1,2,0,0
