"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
"García Dani ","EIB",32,32,2781,0,1,1,20,14,0
"Juncà ","EIB",15,10,902,0,2,0,3,3,0
"Luna Antonio ","LEV",23,22,2021,0,2,1,5,5,0
"Nano ",NA,9,2,274,0,0,2,7,1,0
"Pedro León ","EIB",12,10,929,0,3,7,24,1,0
"Riesgo Asier ","EIB",1,1,90,0,0,0,0,0,0
"Rivera Cristian ",NA,7,2,241,0,0,0,1,0,0
"Sarriegi Imanol ","EIB",3,0,37,0,0,0,0,1,0
"Yoel ","EIB",1,1,90,0,0,0,0,0,0
"Amagat Eloi ","GIR",2,0,14,0,0,0,2,0,0
"Pons Pere ","GIR",31,30,2564,0,2,4,14,8,0
"Aguirregabiria Martín ","ALA",21,20,1829,0,4,1,3,4,0
"García Raúl ","LGN",19,15,1388,0,2,1,7,1,0
"Hernández Theo ","RMD",13,10,961,0,0,2,2,1,0
"Katai Aleksandar ",NA,3,0,52,0,0,0,2,0,0
"Llorente Marcos ","RMD",13,5,540,0,0,0,6,1,0
"Pacheco Fernando ","ALA",38,37,3357,0,0,0,0,2,0
"Romero Óscar  Ó.",NA,5,2,248,0,0,2,8,0,0
"Torres Daniel ","ALA",18,14,1218,0,0,2,4,2,0
"Vigaray Carlos ","ALA",12,9,893,0,0,1,4,6,0
"Arrizabalaga Kepa ","ATH",30,30,2700,0,0,0,0,4,0
"Balenziaga ","ATH",18,18,1554,0,2,0,3,1,0
"Beñat ","ATH",24,12,1115,0,2,3,13,3,0
"Bóveda Eneko ","DEP",14,13,1191,0,1,0,0,3,0
"Iraizoz ","GIR",9,8,765,0,0,0,0,1,0
"Iturraspe Ander ","ATH",30,20,1903,0,0,1,6,7,0
"Laporte Aymeric ",NA,19,19,1710,0,1,2,8,5,0
"Lekue Iñigo ","ATH",32,22,2104,0,1,5,18,3,0
"López Andoni ","ATH",1,1,90,0,0,0,1,0,0
"Merino Sabin ","ATH",13,4,371,0,0,3,8,1,0
"Rico Mikel ","ATH",17,13,1170,0,0,1,13,2,0
"Saborit Enric ","ATH",19,16,1429,0,1,2,6,5,0
"Yeray ","ATH",8,7,675,0,0,0,1,2,0
"Cillessen Jasper ","BAR",1,1,90,0,0,0,0,0,0
"Digne Lucas ","BAR",12,8,702,0,2,1,2,2,0
"Gomes André ","BAR",16,6,629,0,0,0,7,1,0
"Mascherano Javier ",NA,7,6,541,0,0,0,0,0,0
"Ter Stegen Marc-André ","BAR",37,37,3330,0,0,0,0,0,0
"Vermaelen Thomas ","BAR",14,12,1018,0,1,2,3,3,0
"Fontàs Andreu ","CEL",12,9,884,0,1,0,1,2,0
"Hjulsager Andrew ",NA,2,0,12,0,0,0,1,0,0
"Jozabed ","CEL",24,18,1483,0,4,5,18,7,0
"Mallo Hugo ","CEL",34,34,3004,0,5,8,23,12,0
"Planas Carles ","GIR",5,2,191,0,1,0,1,0,0
"Radoja Nemanja ","CEL",26,11,1097,0,1,2,4,3,0
"Roncaglia Facundo ","CEL",21,17,1492,0,0,1,4,2,0
"Rubén ","CEL",22,22,1942,0,0,0,0,3,1
"Álvarez Sergio ","CEL",17,16,1475,0,0,0,0,0,0
"Diop Pape ","EIB",20,15,1206,0,0,1,15,7,0
"Duarte Rubén ","ALA",24,24,2141,0,2,0,8,10,1
"Duarte Óscar  Ó.","ESP",11,11,990,0,0,0,3,1,0
"Fuego Javi ","VIL",28,23,1880,0,0,2,7,8,0
"Jurado José Manuel ","ESP",29,20,1506,0,3,2,13,1,0
"López Diego ","ESP",10,10,854,0,0,0,0,1,0
"López Javi ","ESP",14,12,967,0,0,0,3,4,0
"Martín Aarón ","ESP",32,31,2815,0,0,2,5,6,0
"Melendo ","ESP",18,6,680,0,1,3,8,1,0
"Prieto Andrés ","MAG",4,4,360,0,0,0,0,0,0
"Pérez Hernán ","ALA",14,5,510,0,0,2,8,3,0
"Roberto ","MAG",34,34,3060,0,0,0,1,0,0
"Roca Marc ","ESP",8,2,259,0,0,0,4,0,0
"Sánchez Víctor ","ESP",30,29,2463,0,2,1,13,13,0
"Arribas Alejandro ",NA,3,3,270,0,0,0,2,0,0
"Expósito Edu ","DEP",3,0,94,0,0,0,0,1,0
"Gama Bruno ",NA,6,1,112,0,0,0,1,1,0
"Gil Carles ","DEP",10,6,478,0,1,2,10,0,0
"Guilherme ","DEP",31,31,2643,0,0,2,39,11,0
"Juanfran ","DEP",35,34,3058,0,1,7,24,3,0
"Mosquera Pedro ","DEP",23,16,1397,0,2,3,12,7,0
"Navarro Fernando ","DEP",15,11,1042,0,0,0,0,5,0
"Tyton Przemyslaw ","DEP",2,1,97,0,0,0,0,0,0
"Artiles Aythami ",NA,3,2,183,0,0,0,1,0,0
"Bigas ","LP",12,11,896,0,0,1,4,3,0
"Castellano Dani ","LP",24,23,2027,0,2,0,4,5,0
"Castellano Javi ","LP",23,17,1565,0,0,2,4,4,0
"Gómez Vicente ","LP",25,17,1525,0,0,0,15,3,0
"Hernán ",NA,7,4,351,0,0,2,6,1,0
"Lemos Mauricio ",NA,16,14,1262,0,0,2,16,6,0
"Lizoain Raúl ","LP",11,11,990,0,0,0,0,0,0
"Macedo Michel ","LP",28,26,2136,0,1,3,6,6,1
"Mesa Roque ","SEV",7,4,342,0,0,0,1,2,0
"Momo ","LP",13,8,674,0,1,1,6,3,0
"Ramírez Benito ","LP",4,1,164,0,0,1,1,0,0
"Simón David ","LP",11,6,718,0,0,1,3,3,0
"Hernández Luis ","MAG",36,36,3240,0,1,0,4,8,0
"Jony ",NA,5,1,214,0,0,2,5,1,0
"Juankar ","MAG",10,9,784,0,0,0,2,2,0
"Juanpi ","MAG",16,5,604,0,2,4,15,1,0
"Keko ","MAG",21,15,1217,0,2,5,18,3,0
"Kuzmanovic Zdravko ","MAG",8,6,481,0,1,0,3,4,2
"Mula Alejandro ",NA,11,7,562,0,0,6,17,1,0
