"X","Reviews"
223,"I’m really getting fatigued seeing Johnny Depp almost everywhere. Fantastic Beasts is getting interesting if he wasn’t involved. "
224,"Is it just me, or is the new
Fantastic beasts trailer, a bit meh?"
225,"""Wand-Waving Johnny Depp Appears as 'Fantastic Beasts' Character"" by REUTERS via NYT "
226,"FANTASTIC BEASTS 2 Trailer  2 (NEW 2018) The Crimes of Grindelwald, Har... "
227,"Aquaman Trailer Disappoints? Shazam, Fantastic Beasts, Goddzilla Trailer Breakdowns  via "
228,"Aquaman Trailer Disappoints? Shazam, Fantastic Beasts, Goddzilla Trailer Breakdowns: Comic Con Day 3 Coverage   
Audio



Video
"
229,"My ratings for the comic con trailers so far:

Spider-Man PS4 - 8/10
Titans - 5/10
Iron Fist - 5/10
Doctor Who - 8.5/10
Clone Wars - 7/10
Fantastic Beasts - 8/10
Shazam - 7/10
Aquaman - 6/10

Not that anyone cares."
230,"All the updates, trailers, and commentary for Fantastic Beasts: The Crimes of Grindelwald  "
231,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
232,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
233,"So, thoughts on today's trailers:
- Shazam looks like a ton of fun and Levi is perfectly cast
- Every Aquaman scene that wasn't in the ocean was rough
- Whoever does the costumes for Fantastic Beasts needs to contact me asap because daaammn
- Godzilla's music and visuals. <U+0001F60D>"
234,"Loser in Real Life,  gets up on stage and Acts as a Loser whilst in character. "
235,"Wow, can’t wait for the new Fantastic Beasts movie to come out <U+0001F631>"
236,"The Crimes of Grindelwald come to light in a new Fantastic Beasts 2 trailer  "
237,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
238,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
239,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
240,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
241,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  via "
242,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
243,"""Wand-Waving Johnny Depp Appears as 'Fantastic Beasts' Character"" by REUTERS via NYT "
244,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
245,"Saya suka video   Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
246,"EXCLUSIVE – Fantastic Beasts: The Crimes of Grindelwald COMIC CON TRAILER  "
247,"Me gusto un video de   Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
248,"That new fantastic beasts looks pretty damn good <U+0001F44D><U+0001F3FE><U+0001F49C>"
249,"just watched the fantastic beasts trailer and all I can say is newt scamander is the softest wizard his biggest fear is literally having a desk job"
250,"   What video evidence? Are you talking about that video of him yelling at her - that’s not abuse. Gunn was fired by Disney, who have nothing to do with Fantastic Beasts."
